cuisine,name
Burgers,To Dine For Eatery
Donairs,German Doner Kebab
Delis,Happy Break Cafe
Chinese,Old Xian's Food
Italian,Poor Italian
Ramen,Zubu
Vietnamese,La Maison Saigon 54
Korean,Bori Korean Restaurant
Korean,Yook Korean Grilled BBQ & Bistro
Australian,Peaked Pies
Sushi Bars,Kushi Mura Japanese Izakaya
Breakfast & Brunch,Jam Cafe on Beatty
Chicken Shop,DL Chicken
Ramen,Hibiki Ramen Yakitori Bar
Italian,Nook
Japanese,Sushi Garden Japanese Restaurant
Noodles,Shun Fa Noodle House
Barbeque,Texas Barbecue Chicken & Ribs
Grocery,Mercato Di Luigi
Fruits & Veggies,Chong Lee Market
Chinese,Xi'an Cuisine
Pizza,O Pizza
Italian,Casa Corsi
Vietnamese,Basil Garden
Comfort Food,Kitchen Craft Eatery
Mexican,Los Chavos Mexican Restaurant & Cantina
Tapas Bars,Como Taperia
Korean,Manlijangseong
Chinese,Chao Shou Wang
Fast Food,La Belle Patate
Canadian (New),Botanist
Mexican,The Mexican Antojitos Y Cantina
Taiwanese,E Tea Bubble Tea Restaurant
Japanese,Tokyo In April
Seafood,Cardero's Restaurant & Marine Pub
Beer Bar,CRAFT Beer Market
Japanese,Tairyou Ichiba
Korean,bb.q Chicken & Pub
Canadian (New),JOEY Burrard
Lounges,Hendricks Resto-Lounge
Desserts,Snackshot Kingsway
Creperies,Adam's Crepes
Gastropubs,LOCAL Public Eatery Gastown
Chinese,Bamboo Garden
American,Gobble
Seafood,Joe Fortes Seafood & Chop House
Vegetarian,Govinda's Dining
Korean,Myung-Ga Mandu
Fast Food,Jollibee
Indonesian,Bali Thai
Bubble Tea,I Heart Yao Yen Kitchen & Cafe
Cantonese,Yin Ji Chang Fen
Barbeque,Bona Fide BBQ
Chinese,Lu Lu's Kitchen
Asian Fusion,Street Hawker
Japanese,Gyu-Kaku Japanese BBQ
Bars,The Gull Bar + Kitchen
Korean,Seoul Grill House
Burgers,Loggers Grill
Chicken Shop,HiFive Chicken
