cuisine,name
Pizza,Oregano's Pizza and Bistro
Canadian (New),White Spot  - Saanich
Cafes,Mosi Acqua Cotta
Specialty Food,Urban Forage
Greek,OPA! of Greece Hillside Centre
Bakeries,Duo Café Bakery
Japanese,The Tombo Japanese Restaurant
Japanese,Shiki Sushi
Japanese,Edo Japan
Breakfast & Brunch,De Dutch
Thai,Little Thai Place
Mexican,MexiGo
Greek,OPA! of Greece Bay Centre
Desserts,AsUsual Cafe
Breakfast & Brunch,White Spot Fort Street
Coffee & Tea,Blenz Coffee
American,Splash Bar & Grill
Pizza,Papa Johns Pizza
Cafes,Rawthentic Eatery
Pizza,70'ees Pizza
Tex-Mex,Baja Surf Grill
Japanese,Little Tokyo
Bakeries,Origin Gluten-free Bakery
Mexican,Mexigo
Wine Bars,L'Apéro
Indian,Indian Aroma Restaurant
Delis,Lox stock and bagel deli
Pizza,Athena's Place
Breakfast & Brunch,Rocky Mountain Muffin Company
Cafes,University Club of Victoria
Pizza,Stone Ground Pizza & Bar
Chinese,Xiang Rui
Burgers,Fat Burger
Ice Cream & Frozen Yogurt,FreshCoast Health Food Bar
Fish & Chips,Salty's Fish & Chips
Coffee & Tea,Taste - A Place for Coffee
Chinese,Lin Heung Restaurant
Canadian (New),Paisley Restaurant
Indian,Curry Flavour Restaurant
Delis,San Remo Cafe & Deli
Asian Fusion,Noodlebox
Bakeries,Cafe Select
Pizza,Pizza Factory
Coffee & Tea,Iluka Espresso
Pizza,Boston Pizza
Fast Food,Sampan Express
Canadian (New),Thibklandia
Fast Food,A&W
Shopping,Creative Distribution Corporation
Sushi Bars,Yokidomo Sushi
Chinese,Kingwuu Chinese
Specialty Food,New York Fries
Bars,Lola's Burger Bar
Fast Food,Hungry Rooster Food Truck
Sushi Bars,Dragon Roll&sushi Market
Computers,Quality Cartridge Recycling
Mobile Phones,The Cellular Store
Chinese,Sizzling Wok
Sushi Bars,Erito Sushi
Fast Food,NYF
Pizza,Delicious
Chinese,JOJO Jajangmyeon
Japanese,Sushi Rock Cafe
Pizza,Romeo's Place
Cafes,Jeannies Cafe
Japanese,Bon Sushi
Restaurants,Le DO Karaoke Restaurant
Chinese,Crown Palace Chinese Restaurant
Cafes,Good Earth Coffee House
Breakfast & Brunch,Cherries Breakfast Bistro
Delis,Sub Stop
Fast Food,KFC
Coffee & Tea,Serious Coffee Blanshard
Burgers,Burger King
Burgers,McDonald's
Canadian (New),Peacock Billiards & James Joyce Bistro
Japanese,Edo Japan
Mexican,TacoTime
Persian/Iranian,Anar Food
Chinese,Heart of Asia
Canadian (New),Macan's Pub & Restaurant
Delicatessen,Bagga Pasta Cafe Deli
Fast Food,McDonald's
Pizza,Papa Johns Pizza
Chinese,Purple Garden Chinese Restaurant
Indian,Four Spice Indian Cuisine
Chicken Wings,KFC
Pizza,Villages Pizza
Thai,King & Thai Restaurant
Indian,Taj Taste Of India
Indian,Jr's India Curry House
