city,state,pop,white,black,asian,indigenous,pacific,hispanic,two_pop
Imperial,California,181215,0.9019341665976879,0.03315950666335568,0.021096487597605056,0.024810308197445025,0.001970035593080043,0.8503048864608338,0.017029495350826367
Jackson,Michigan,158510,0.8760393666014763,0.08147120055517001,0.009166614093748028,0.004315185161819443,0.0005425525203457195,0.036433032616238724,0.02846508106744054
Jackson,Mississippi,143617,0.732503812222787,0.2169589951050363,0.023520892373465538,0.004922815544120821,0.0009957038512153854,0.06830667678617434,0.021097780903374948
Jackson,Missouri,703011,0.7016134882668976,0.23738604374611494,0.019662565735102295,0.006116547251749972,0.00306965324866894,0.09243952086098225,0.03215170175146619
Jasper,Missouri,121328,0.9067074376895687,0.023143874456020046,0.01251978108927865,0.018940392984307,0.005357378346300936,0.08464657787155479,0.033331135434524595
Jefferson,Colorado,582881,0.9152125390946008,0.014625626843214995,0.03098402589893992,0.012206608209909054,0.0012198030129649106,0.155884305715918,0.025751396940370333
Jefferson,New York,109834,0.8749203343227052,0.06796620354352932,0.01721689094451627,0.006874009869439336,0.0032048363894604586,0.07794489866525849,0.029817724930349437
Jefferson,Texas,251565,0.590503448412935,0.34109275932661537,0.03944507383777553,0.010474430067775724,0.0009421024387335281,0.22092103432512472,0.01754218591616481
Johnson,Kansas,602401,0.8663614436231015,0.04946040926226882,0.05351252736964248,0.004080338512054263,0.00040836585596637455,0.07922131603367193,0.026176915376966505
Kalamazoo,Michigan,265066,0.8118581787177533,0.1182422491002241,0.02824202274150589,0.005334520459055481,0.000573442086121947,0.05214927602936627,0.035749586895339275
Kane,Illinois,532403,0.8655191649934354,0.059935800512018154,0.04374505778517401,0.010242241309684581,0.0008057805835053522,0.3237416017565641,0.019751954816182478
Kankakee,Illinois,109862,0.81361162185287,0.14999726930148732,0.0107589521399574,0.004478345560794452,0.00046421874715552237,0.10847244725200707,0.02068959239773534
Kaufman,Texas,136154,0.8127414545294299,0.1390631197026896,0.014887553799374238,0.010135581767704217,0.0009401119320769129,0.23255284457305697,0.02223217826872512
Kenosha,Wisconsin,169561,0.8720106628293063,0.07413261304191412,0.017604284003986767,0.007537110538390314,0.0010025890387530152,0.13456514174839734,0.02771274054764952
Kootenai,Idaho,165697,0.9452977422644948,0.004224578598284821,0.009215616456544173,0.013379843931996354,0.0014423918357001032,0.04940342915079935,0.026439826912979716
La Crosse,Wisconsin,118016,0.9126728579175705,0.016150352494577008,0.0470698888286334,0.0049400081344902385,0.00044061822125813447,0.02095478579175705,0.018726274403470716
Lancaster,Pennsylvania,545724,0.8965191195549399,0.05192551546202843,0.02538279423298224,0.004181600955794504,0.0010444840248917035,0.10963600647946581,0.02094648576936327
Lebanon,Pennsylvania,141793,0.9260753351716939,0.03737137940518925,0.01540273497281248,0.0036955279879824815,0.0008180939820724577,0.14145973355525307,0.016636928480249377
Lee,Florida,770577,0.8683518973444575,0.09081376682667663,0.017536209879090603,0.004931369610045459,0.0010836035853652522,0.22515206137738344,0.017283152754364588
Lexington,South Carolina,298750,0.7947481171548118,0.1570276150627615,0.022098744769874477,0.005332217573221758,0.001007531380753138,0.06290878661087866,0.019785774058577406
Litchfield,Connecticut,180333,0.9326135538143324,0.024105405000748616,0.02162111205381156,0.0034602651760908985,0.0007486150621350501,0.07097979848391586,0.0174510488928815
Lorain,Ohio,309833,0.8615286299393544,0.08971607285214939,0.013575054948956373,0.0038536889227422516,0.0007326527516436274,0.10387854102048523,0.03059390058515394
Los Angeles,California,10039107,0.7070657778625131,0.08956633294176464,0.15394247715459153,0.014340717755075227,0.0036508227275593337,0.4862952451846564,0.03143387155849619
Lubbock,Texas,310569,0.8653954515743684,0.07857191155588614,0.023720976658971115,0.011713983044025643,0.0013459166884009673,0.36290164182516604,0.019251760478347806
Lucas,Ohio,428348,0.7420111684891724,0.20342571927498201,0.017235985693875074,0.004153165183448972,0.0005322774940002055,0.07378113122974778,0.03264168386452137
Luzerne,Pennsylvania,317417,0.8926396506803354,0.0661684786889171,0.01421158917134243,0.006552894142405731,0.0008884212250761616,0.13779980278308976,0.01953896609192324
Macomb,Michigan,873972,0.8027167918423016,0.12595483608170513,0.042560860073320425,0.0033319145235774146,0.00033410681349059236,0.027556946904477488,0.025101490665604846
Macon,Illinois,104009,0.7769519945389342,0.17753271351517658,0.011566306761914833,0.0027401474872366816,0.0005095712871001547,0.023930621388533684,0.03069926640963763
Madera,California,157327,0.859248571446732,0.04166481277848049,0.025539163652774158,0.044378905083043596,0.0030573264601753036,0.5878393409904212,0.026111220578794486
Madison,Indiana,129569,0.8833980350238098,0.0855374356520464,0.006004522686753776,0.004005587756330604,0.0006019958477722295,0.043590673695096824,0.020452423033287283
Madison,Illinois,262966,0.8763262170774929,0.08832320528129112,0.010305514781378582,0.003464326186655309,0.0006502741799320064,0.0343580538928987,0.020930462493250077
Madison,Mississippi,106272,0.5746668925022583,0.38281955736224027,0.027824826859379703,0.0034439927732610657,0.0006869165913881361,0.03137232761216501,0.010557813911472449
Madison,Alabama,372909,0.6887149411786789,0.24861025075822787,0.026757198136810857,0.00803949489017428,0.0010511947955131145,0.0518946981703311,0.026826920240594892
Marathon,Wisconsin,135692,0.9077838044984229,0.00908675529876485,0.0605046723461958,0.005689355304660555,0.0005306134481030569,0.029861745718244258,0.016404799103852844
Maricopa,Arizona,4485414,0.8279940268612886,0.06383334960830818,0.04630809998809474,0.028315334994718437,0.002887804782345621,0.31409698190624097,0.030661383765244413
Marion,Indiana,964582,0.6352917636862392,0.2909726700270169,0.03826113280156586,0.004479660619833254,0.0006178842234252764,0.10891971859313153,0.030376888641919505
McLean,Illinois,171517,0.8368908038270259,0.08396252266539177,0.05114361841683332,0.0029734661870251928,0.0005363899788359171,0.05166834774395541,0.024493198924887914
Medina,Ohio,179746,0.9557987382194875,0.014971125922134568,0.012962736305675788,0.002064023677856531,0.00026148008856942574,0.023004684387969692,0.01394189578627619
Merced,California,277680,0.821611207144915,0.03938706424661481,0.07767214059348891,0.025356525496974935,0.0038209449726303657,0.6102059925093632,0.032152117545375974
Mercer,Pennsylvania,109424,0.9128253399619828,0.05856119315689428,0.0071922064629331775,0.0022572744553297267,0.0002650241263342594,0.016075084076619388,0.01889896183652581
Merrimack,New Hampshire,151391,0.9402672549887378,0.017517553883652264,0.022405559115138945,0.002860143601667206,0.000369903098598992,0.02284812175096274,0.016579585312204822
Mesa,Colorado,154210,0.9393748784125543,0.0094805784320083,0.010362492704753258,0.015336229816484016,0.0013747487192789054,0.1481486284936126,0.02407107191492121
Middlesex,New Jersey,825062,0.600994834327602,0.11950495841524637,0.24917884958948538,0.006644349151942521,0.0011659729814244262,0.2207203822258206,0.02251103553429924
Midland,Texas,176832,0.8783421552660152,0.0690203130655085,0.022688201230546507,0.011706026058631922,0.0012214983713355048,0.45999592833876224,0.01702180600796236
Milwaukee,Wisconsin,945726,0.6422103230745481,0.2724002512355587,0.04661921106113187,0.00982842810708387,0.00045573453621873566,0.15608220562826866,0.02848605198545879
Missoula,Montana,119600,0.9173829431438127,0.005041806020066889,0.018486622073578596,0.027081939799331104,0.0009866220735785954,0.03423076923076923,0.031020066889632106
Mobile,Alabama,413210,0.5901236659325767,0.36230730137218364,0.020713438687350257,0.009389898598775441,0.0004186733138113792,0.030113017593959488,0.017047022095302632
Monroe,Indiana,148431,0.8595037424796707,0.03718225977053311,0.07290256078581968,0.003260774366540682,0.0007208736719418451,0.03553166117589991,0.026429788925494
Monroe,New York,741770,0.7683432870027097,0.16245062485676154,0.03688340051498443,0.004156274856087466,0.0007279884600347817,0.09179125604971891,0.027438424309422057
Monroe,Michigan,150500,0.9431362126245847,0.026564784053156147,0.006883720930232558,0.0039136212624584716,0.0003322259136212625,0.03748172757475083,0.019169435215946842
Monterey,California,434061,0.8283513146769693,0.034488240132147324,0.06729468899532554,0.02598252319374466,0.006052144744632667,0.5937437364794349,0.03783108825718044
Montgomery,Alabama,226486,0.35508596557844635,0.5932198899711241,0.032779068021864484,0.003377692219386629,0.0009492860485857845,0.03684112925302226,0.014588098160592708
Montgomery,Pennsylvania,830915,0.7935228031748133,0.09989469440315796,0.08097819873272236,0.0023793047423623353,0.0006246126258401882,0.05435212988091442,0.022600386321103845
Montgomery,Texas,607391,0.878585622770176,0.05850926339046841,0.03257209935609846,0.009754836670283228,0.0012068008910240686,0.2516286872871017,0.019371376921949783
Muskegon,Michigan,173566,0.811748844819838,0.13960107394305335,0.006902273486742795,0.010163280826890058,0.0003975432976504615,0.058070128942304365,0.031186983625825334
Napa,California,137744,0.8363268091532118,0.024596352654199093,0.08899117202927169,0.012675688233244279,0.00418893018933674,0.34600418167034497,0.03322104774073644
Nassau,New York,1356924,0.7338811901034988,0.13075824438214667,0.10877617316813616,0.005496254764452541,0.0010280605251288945,0.17482556134315555,0.020060077056636923
New Castle,Delaware,558753,0.6461030186862531,0.26422408470290093,0.05786277657569624,0.004755231739247932,0.00070156222874866,0.1041605145744184,0.026353326067153106
New Haven,Connecticut,854757,0.7729623741016453,0.15186421403977973,0.043300025621316934,0.0056495588804771416,0.0010798390653717956,0.19141814574200622,0.02514398829140914
New London,Connecticut,265206,0.8355881842793904,0.06992677390405949,0.04325316923448187,0.012035926788986675,0.0014479310422841113,0.11101935853638303,0.03774801475079749
