nationality,total_population,total_population_MOE_Appx,percentage
England,7884,2179.284692458169,0.054887768298429056
Scotland,1565,971.192494030656,0.010895403017128548
Northern Ireland,302,426.65132131712966,0.0021024994959570743
Yugoslavia,4276,1605.1694560018022,0.029769165048716722
Czech Republic,2485,1223.758431419582,0.017300368369050762
Slovakia,1260,871.4422371791012,0.008772017764589118
Bosnia and Herzegovina,8681,2286.714670159279,0.060436417630474706
Croatia,3361,1423.153869986253,0.023399009291098435
Macedonia,3675,1488.1302091070995,0.02558505181338493
Serbia,6747,2016.1152739775775,0.046972066553716496
Latvia,1527,959.3306299698816,0.010630850100418717
Lithuania,10639,2531.303303674096,0.07406785475989178
Armenia,770,681.2508043072174,0.0053606775228044615
Azerbaijan,476,535.6364722990095,0.003313873377733667
Belarus,5700,1853.1699277069436,0.039682937506474586
Georgia (country),512,555.5217062735067,0.0035645024567219274
Moldova,3970,1546.6872200752657,0.027638817877316507
Russia,17256,3222.9325113644427,0.12013487186170622
Ukraine,25087,3884.831026875368,0.17465365846051364
USSR,3238,1396.8768374227702,0.022542693271221877
Europe,782,686.5384069017719,0.005444220549133881
Kosovo,556,578.8988678243682,0.0038708268865964685
Montenegro,813,700.0131638079883,0.005660040033818217
"Other Europe, n.o.s",1434,929.661722168594,0.00998339164636571
Afghanistan,1378,911.3305626451258,0.00959352419016175
Bangladesh,2508,1229.407548663723,0.017460492502848816
Bhutan,2053,1112.3317200255426,0.014292819421191635
Myanmar,4348,1618.622532882818,0.030270423206693244
Cambodia,2114,1128.7332054458116,0.014717496471699523
China,77308,6805.632051855233,0.538212023289568
Cyprus,41,157.2048678522196,0.00028543867329218557
Hong Kong,5178,1766.313218146644,0.036048815861144806
India,156084,9640.145819287229,1.0866441434667684
Indonesia,1432,929.0132690523652,0.009969467808644142
Iran,7237,2088.00221343366,0.05038340679550115
Iraq,12155,2705.4870689685504,0.08462212375284185
Israel,4830,1705.9495391857877,0.033626068097591624
Japan,11111,2586.796845876957,0.0773538804621823
Jordan,9522,2394.842066580534,0.06629139139239491
Korea,40328,4922.563112614655,0.2807602638177381
Kazakhstan,1040,791.7238789809714,0.007240395615216415
Kyrgyzstan,883,729.5248596143858,0.006147374354073168
Kuwait,1887,1066.4208326484463,0.013137140890301323
Laos,3254,1400.3229160891617,0.02265408397299444
Lebanon,2938,1330.6097209509214,0.020454117612986374
Malaysia,3043,1354.1724890877183,0.0211851190933688
Mongolia,1480,944.453215369429,0.010303639913961821
Nepal,3327,1415.9391194900263,0.023162304049831745
Pakistan,30296,4268.2677036420855,0.2109182938063428
Philippines,89589,7322.736307223149,0.6237113488188687
Saudi Arabia,4210,1592.7375148580977,0.029309678403904915
Singapore,1467,940.2966087288416,0.010213134968771617
Sri Lanka,1489,947.3201773546534,0.010366297183708887
