cuisine,name
Japanese,Nori Bento & Udon
Mexican,Four Winds Brewing
Italian,Pepino's
Asian Fusion,Don at Kitsilano
Japanese,Kamome Japanese Restaurant
Korean,Joong Won
Hot Pot,Pot Empire
Korean,Masita Korean Cuisine
Japanese,Suika
Pizza,Moncton Pizzeria
Taiwanese,Wang's Taiwan Beef Noodle House
Canadian (New),Acre Through The Seasons
Seafood,Neptune Palace Seafood Restaurant
Barbeque,Neptune Barbecue House
Thai,Kin Kao Thai Kitchen
Malaysian,Mui Garden Restaurant
Pubs,The Cascade Room
Korean,Yum Yum Tteokbokki
Coffee & Tea,Four Seasons Cafe
Seafood,Sun Sui Wah Seafood Restaurant
Bars,CAVU Kitchen Bar
Asian Fusion,Street Hawker
Steakhouses,Moxies
Pancakes,Fufu Pancake Cafe
Chinese,Sing Yee Chinese Restaurant
Indian,Mirchi Restaurant
Chinese,Claypot Hot Pot & BBQ
Chicken Shop,Hot Star Large Fried Chicken
Live/Raw Food,Nightingale
Sushi Bars,Sushi Bar Shu
Vietnamese,Viet Mama Cafe
Japanese,Hana Cafe
Chinese,Yummy Hotpot
Cafes,Oriole Cafe
Sushi Bars,Sushi Crave
Seafood,Beach Ave Bar And Grill
Chinese,Boil it World MaLaTang
Japanese,Sumo Grill
Cafes,River Road Cafe
Singaporean,Prataman Express
Taiwanese,Boiling Point
Indian,Mount Everest Kitchen & Grill
Italian,Mozza Restaurant & Lounge
Italian,Boston Pizza
Burgers,Boy With a Knife Grill
Buffets,The Buffet
Steakhouses,Moxies
Korean,Nomnom Seoul
Bakeries,A Bread Affair
Chinese,Royal Beef
Coffee & Tea,Milk & Honey Café
Mediterranean,The Primerose Mediterranean Restaurant
Thai,Unchai Thai Restaurant
Cafes,Yellow Dots Café
Indian,Biryani Bhai
Chinese,Yung Ho Soy Drink
Canadian (New),Barbara
Dim Sum,Gah Lok
Mediterranean,Barra 41
Cafes,The London Cafe
Chicken Wings,Wo Fung Noodle House
Mexican,Toloache Mexican Kitchen
Chinese,Cloud 9 Delicacy
Soup,Zhao's Soup House
Chinese,Dumpling House
Chinese,Nine Dumplings
Indian,House Of India
Burgers,Kove Kitchen
Chinese,Mountaintop Beef House
Thai,Siam Le Bien
Personal Chefs,9 Private Dining
Dim Sum,Sea Harbour Seafood Restaurant
Asian Fusion,Wang Ji Asian Cuisine
Comfort Food,Burgoo Bistro
Hong Kong Style Cafe,Grill King
Pizza,Hellcrust Pizza
Barbeque,Alley 16
Korean,Sooda Korean BBQ
Chinese,Sesame
Persian/Iranian,Celeshmet Restaurant
Noodles,Bubble Waffle Cafe - Ironwood
Moroccan,Moltaqa Moroccan Restaurant
Seafood,New Chiu Yeung Fresh Seafood
Canadian (New),Cactus Club Cafe
Sandwiches,Chachi’s
Mexican,Little Mexico Cantina
Greek,Nostos Taverna
Noodles,Ajea Noodle
Ramen,Maruhachi Ra-men
Fast Food,La Belle Patate
Taiwanese,No.1 Beef Noodle House
Vietnamese,Nami
Italian,Di Beppe
Middle Eastern,Afghan Horsemen Restaurant
Singaporean,Mamalee Malaysian Delight
Chinese,Chang'An
Japanese,Kyabia Japanese Restaurant
Korean,Elysium Korean Bistro & Restaurant
Desserts,SoyTalk
Barbeque,Tenen
Chinese,Copa Cafe
Korean,Sura Korean BBQ
Canadian (New),Cactus Club Cafe
Canadian (New),Elephant
Barbeque,Lucky Joy BBQ Restaurant
Portuguese,Macau Cafe
Korean,The Corner Kitchen UBC
Italian,Bella Roma Pizzeria & Ristorante
Wine Bars,Vino Volo
Chinese,Chef Liu Kitchen
Wine Bars,Bar Bravo
Dim Sum,Shanghai Morning
Seafood,Riley's Fish & Steak
Seafood,Kuanzhai Road Restaurant
Chinese,K Squared Mansion
Seafood,Empire Seafood Restaurant
Tapas Bars,VV Tapas Lounge
Noodles,Hủ Tiếu Hồng Phát
French,Twisted Fork
Malaysian,Green & Oak Malaysian Restaurant
Pizza,Geppetto pizza
Japanese,Kissa Tanto
Chinese,Cool Chinese Restaurant
Hot Pot,I Love Fish
Lounges,Hendricks Resto-Lounge
Korean,Oyo Korean Noodles
Chicken Shop,The DownLow Chicken Shack
Chinese,Old Xian's Food
Taiwanese,Yougo Chicken
Asian Fusion,Jingle Bao
Korean,DooBoo
Street Vendors,taps & tacos
Latin American,El Camino's
Cafes,Yama Cafe
Wine Bars,Brix & Mortar
Chinese,Ninety Nine Foods
Middle Eastern,Karakoram
American,Worldwide Cafe at Four Points
Coffee & Tea,C41 Coffee
Soup,Hong Kong Cafeteria
Hot Pot,Lamb Hot Pot
Mediterranean,Tagine Moroccan Restaurant and Bar
Dim Sum,Fisherman’s Wharf Dim Sum
Asian Fusion,Holy Chow
Vietnamese,Thai Hang
American,Brass Fish Tavern
Sushi Bars,Village Sushi Bar
Pizza,R&B Brewing
Cafes,Van Tea Cafe
Singaporean,Shiok Singapore Cuisine
Breakfast & Brunch,Jam Cafe on Beatty
Chicken Shop,Chicken Cracklin' - Richmond Night Market
Japanese,Tokyo Joe Sushi
Mexican,Gringo
Chinese,Fortune Terrace Chinese Cuisine
Japanese,Tokyo In April
Korean,Midam Cafe
Seafood,Grand Neptune Seafood Restaurant
Italian,Autostrada
Seafood,Double East Cuisine
Chinese,Liuyishou Hotpot Richmond
Canadian (New),Earls Kitchen + Bar
Canadian (New),The Mackenzie Room
Fish & Chips,The Fish Counter
Chinese,Joyful Congee Noodle Cafe
Grocery,Mercato Di Luigi
Hong Kong Style Cafe,Juicy BBQ
Pubs,Black Frog Eatery
Seafood,Parkhill Seafood Restaurant
Indian,Tandoori King Cafe
Cafes,Enjoy Cafe 1 Plus1
Sports Bars,Moxies
Thai,Taste of Thai
Cafes,Mah Milk Bar
Chinese,Jasmine Flower Shanghai
Afghan,Zarak By Afghan Kitchen
Ukrainian,Kozak Ukrainian Restaurant
Sushi Bars,Masayoshi
Persian/Iranian,Sahel Market & Restaurant
Delis,Happy Break Cafe
Delis,D Original Sausage Haus
Wine Bars,Dachi
Japanese,Guu Toramasa
Salad,Freshiii
Comfort Food,Burgoo Bistro
Dim Sum,Royal Palace Seafood
Dim Sum,Lucky Hong Kong
Vietnamese,DD Mau Chinatown
Food Court,International Food Court
Japanese,Osaka Teppanyaki Steak & Seafood House
Hot Pot,Beijing Hot Pot
Caribbean,D Roti Shak
Poutineries,Best Bite Donair
Bistros,Honeybrew
Barbeque,Master Hung BBQ Restaurant
Korean,Dai Jang Kum
Cafes,Brioche Doreé
Chinese,Wu Fung Dessert
Hot Pot,The Dolar Shop - Station Square
